C12-A_1	C12-A_2	C12-A_3	C12-AA_1	C12-AA_2	C12-AA_3	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_1	C12-AD_2	C12-AD_3	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_1	C12-E_2	C12-E_3	C12-H-T1_1	C12-H-T1_2	C12-H-T1_3	C12-H-T2_1	C12-H-T2_2	C12-H-T2_3	C12-I_1	C12-I_2	C12-I_3	C12-J_1	C12-J_2	C12-J_3	C12-K_1	C12-K_2	C12-K_3	C12-L_1	C12-L_2	C12-L_3	C12-P-T1_1	C12-P-T1_2	C12-P-T1_3	C12-V_1	C12-V_2	C12-V_3	C12-W-L1_1	C12-W-L1_2	C12-W-L1_3	C12-C-L1_1	C12-C-L1_2	C12-C-L1_3	C12-Y-C1_1	C12-Y-C1_2	C12-Y-C1_3
0	0	0	110	250	63	235	202	123	220	225	100	164	124	119	538	689	370	294	519	230	200	251	119	233	257	142	350	438	195	379	374	224	327	321	148	233	330	164	4508	5252	3726	3258	3692	1743	616	618	236	0	0	0
0	57	0	155	162	62	464	286	237	375	402	189	168	129	131	1472	1449	1174	1036	1493	731	296	231	153	422	396	309	1031	1050	595	626	584	403	566	540	326	471	673	314	4661	4905	3150	2739	3116	1279	2048	2205	822	0	0	0
0	75	0	571	373	233	1387	951	884	1149	1081	580	377	368	288	3061	3892	2255	4180	5504	2652	666	606	371	1770	1302	1185	3925	3600	2214	2801	2686	1958	2227	1878	1325	1344	1761	1041	2458	2415	1766	1533	1766	716	4130	4395	1641	0	0	0
0	0	0	1699	1231	829	3119	1862	1885	3873	3484	2040	1286	1602	1110	3992	5251	2804	7136	9043	4266	2288	2032	1220	3456	2589	2133	6810	6290	3863	5727	5319	4018	4958	3929	2883	3449	4440	2621	2819	2746	2287	2060	2424	1040	4072	4354	1546	0	0	0
0	0	0	2722	2175	1415	3374	1800	1887	6618	5987	3361	2605	3632	2107	4515	5640	3048	4653	5598	2536	4600	3801	2298	3621	2493	2004	4486	4115	2534	5452	4952	3729	5257	4047	2765	4928	6206	3526	1862	1570	1169	1093	1292	516	1844	1956	625	0	0	0
0	0	0	2784	2484	1593	1841	893	917	6306	5662	3088	2767	3790	2246	3733	4808	2434	1110	1222	531	4411	3293	2117	1890	1190	947	1040	851	526	2701	2409	1830	4416	3246	2199	4234	4899	2701	0	110	77	0	0	0	181	163	0	0	0	0
77	56	0	1832	1637	1024	340	83	144	3262	2893	1439	1997	2627	1544	1613	1750	822	405	400	118	2121	1353	849	477	176	132	89	0	0	836	606	487	2506	1758	1084	2119	2173	1192	593	560	396	195	288	137	0	0	0	0	0	0
88	133	62	570	512	264	0	0	0	453	363	129	977	1099	692	166	155	0	324	394	147	559	311	159	52	0	0	143	137	95	107	70	0	135	101	0	482	333	145	86	75	84	96	127	78	276	360	133	72	63	0
265	336	105	103	92	78	290	109	135	0	0	0	119	55	85	240	355	237	1071	1344	563	330	226	114	245	196	190	842	782	518	390	304	297	201	135	130	245	232	212	575	537	428	314	434	181	542	660	257	223	163	97
784	888	303	369	211	194	652	316	373	815	662	427	62	83	78	706	1063	529	1445	1797	758	690	617	319	630	393	365	1201	1145	720	971	799	631	1124	697	546	942	1015	558	679	723	510	393	513	210	379	505	149	470	409	206
1612	2055	688	602	439	378	762	320	399	1243	1101	628	327	476	276	1011	1460	840	764	945	390	1124	975	510	614	425	338	373	444	254	707	603	373	1215	722	569	1364	1390	801	512	416	343	222	278	162	176	290	77	1005	916	407
3723	4547	1694	752	619	493	660	288	349	1065	941	524	313	458	283	886	1322	677	951	1240	548	884	821	380	600	434	331	435	501	308	516	408	299	1409	844	648	1558	1499	781	725	594	476	275	389	222	225	370	99	2142	2016	962
5604	6508	2460	665	546	419	752	360	420	743	659	293	237	386	232	911	1178	713	1264	1671	708	939	850	410	652	524	391	509	564	375	552	460	375	1197	714	504	1611	1635	835	995	697	610	368	496	267	273	519	143	3096	2835	1381
6160	6847	2638	652	510	372	714	340	428	642	580	279	167	244	156	782	1100	648	1254	1631	718	945	785	409	606	512	386	474	555	351	459	409	317	923	611	475	1482	1495	772	1041	780	647	322	581	253	283	502	146	3154	3113	1534
4807	5430	2036	466	376	240	534	236	305	492	457	193	104	215	129	596	901	464	1005	1234	525	683	624	282	370	386	270	388	371	250	363	328	217	690	442	328	1185	1149	559	803	595	476	208	447	173	187	370	117	2572	2439	1220
2944	3298	1109	279	215	128	304	106	157	335	281	168	0	142	83	352	538	261	492	653	277	413	339	170	224	187	156	235	172	165	217	168	132	368	309	209	664	676	362	410	267	266	131	214	71	103	168	57	1535	1336	696
