C12-A_1	C12-A_2	C12-A_3	C12-AA_1	C12-AA_2	C12-AA_3	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_3	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_1	C12-E_2	C12-E_3	C12-H-T1_1	C12-H-T1_3	C12-H-T2_3	C12-I_1	C12-I_2	C12-I_3	C12-J_1	C12-J_2	C12-J_3	C12-K_1	C12-K_2	C12-K_3	C12-L_1	C12-L_2	C12-L_3	C12-P-T1_1	C12-P-T1_2	C12-P-T1_3	C12-V_1	C12-V_2	C12-V_3	C12-W-L1_1	C12-W-L1_2	C12-W-L1_3	C12-C-L1_1	C12-C-L1_2	C12-C-L1_3	C12-Y-C1_1	C12-Y-C1_2	C12-Y-C1_3
50	0	0	51	0	0	0	67	0	0	0	62	0	0	83	0	502	611	118	86	85	75	11980	10587	11868	0	146	0	13233	8569	11100	134	151	106	0	52	0	0	0	0	0	0	0	142	0	0
56	0	0	0	0	0	81	0	0	162	0	0	0	0	0	0	4509	5600	54	0	0	69	5846	4975	5254	0	0	77	7146	4784	5889	55	0	51	0	0	0	120	161	98	0	0	0	0	0	145
0	0	0	0	0	56	0	0	0	1133	145	423	181	224	388	246	5034	5379	216	690	719	986	29322	29584	29816	0	0	0	28628	29730	29485	992	871	782	0	106	0	140	114	167	0	0	0	0	0	0
76	80	53	76	0	89	58	0	276	562	0	194	65	187	260	259	23827	26092	104	392	462	590	2566	2088	2292	461	189	697	2612	2005	2684	370	393	274	904	575	577	1452	2142	1157	74	67	70	68	387	222
96	174	125	1374	335	1058	485	173	735	8449	1096	2571	973	1992	2403	1933	2013	2351	2267	5282	6361	8522	602	652	720	599	507	612	760	747	761	6498	6124	5593	1024	316	870	1237	1716	1332	70	57	51	91	54	61
387	556	381	320	91	574	263	178	687	3400	561	1318	465	1730	2457	1978	1079	1161	1211	1046	1207	2386	525	341	486	1832	1334	2023	730	264	506	1833	1635	2147	4986	3333	5002	6389	7947	6167	748	464	501	297	214	203
1156	1490	972	7241	1752	6139	4251	1579	5896	28114	5318	11971	4960	10355	14757	11188	956	1677	10963	15427	16950	22264	791	694	639	3581	2066	3958	967	784	917	24723	25521	22738	4607	3333	4695	551	998	684	646	250	330	553	492	543
4458	4921	3318	3184	518	2750	2963	1366	4945	2852	314	940	396	7302	9005	7440	4441	4873	1393	2831	2492	3167	2881	2139	2664	7183	5286	10627	4122	2869	3647	4239	4002	4134	20802	14784	20966	748	683	676	3942	1971	2240	1747	2008	1583
8122	8887	5597	12653	3906	9590	14728	6570	21616	3741	445	1561	681	4298	5597	5076	6154	7187	2301	5117	4456	5285	5380	4115	5177	9363	6854	13174	6506	5222	6468	6649	6335	6617	4453	3221	4730	1207	1415	1188	694	594	548	3215	3883	2650
15634	16452	10493	7840	2798	6489	7385	3636	11575	7460	1329	3350	1459	5437	6498	5949	12590	13956	4822	9500	10018	10945	11532	9361	10755	7198	5941	8951	14688	11042	14411	13050	12943	12282	8971	5874	7981	2572	3435	2500	1604	1449	1080	6502	7863	5761
2940	3378	2099	1470	1168	1302	1725	1061	1861	502	1179	1930	865	534	351	648	1932	2050	721	1084	1131	574	1727	2219	1700	1340	1159	1216	2682	2238	2075	917	1015	1208	817	700	543	869	1280	620	799	1435	0	1651	2153	1220
