C12-A_1	C12-A_2	C12-A_3	C12-AA_1	C12-AA_2	C12-AA_3	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_1	C12-AD_2	C12-AD_3	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_1	C12-E_2	C12-E_3	C12-H-T1_1	C12-H-T1_2	C12-H-T1_3	C12-H-T2_1	C12-H-T2_2	C12-H-T2_3	C12-I_1	C12-I_2	C12-I_3	C12-J_1	C12-J_2	C12-J_3	C12-K_1	C12-K_2	C12-K_3	C12-L_1	C12-L_2	C12-L_3	C12-P-T1_1	C12-P-T1_2	C12-P-T1_3	C12-V_1	C12-V_2	C12-V_3	C12-W-L1_1	C12-W-L1_2	C12-W-L1_3	C12-C-L1_1	C12-C-L1_2	C12-C-L1_3	C12-Y-C1_1	C12-Y-C1_2	C12-Y-C1_3
269	0	205	0	0	93	0	0	104	2243	1469	1990	267	278	162	0	0	0	437	1059	661	0	128	0	1351	880	1895	2629	2448	2804	0	0	0	3545	2030	2961	595	729	941	545	496	1302	0	778	0	0	0	0	0	0	0
0	0	0	227	0	375	0	0	0	367	482	240	1592	3531	1389	0	102	89	0	0	75	405	332	195	312	0	301	390	252	459	0	0	0	314	414	384	186	299	330	0	252	190	0	0	112	0	0	0	0	0	0
56	0	53	0	0	177	1009	532	1656	11150	10643	10119	569	869	435	139	161	157	3230	4094	3101	1151	1200	363	5750	5696	7493	11772	8925	11810	116	241	259	13602	9872	11649	5307	5751	5358	5018	3805	5082	587	693	538	200	180	173	0	398	0
55	65	0	2137	747	1229	201	0	314	1606	1774	1598	5101	8394	3508	527	635	656	242	175	118	962	1163	495	757	771	1325	2299	1678	2027	88	0	0	2571	1680	1935	1202	1247	1202	142	198	206	0	68	78	146	61	0	115	0	0
244	0	86	689	239	450	3826	1863	6277	26153	24885	24522	68	80	72	710	642	573	10100	12840	10432	5349	6148	2132	11156	11382	15740	29487	22305	28217	562	487	1139	29481	22565	28815	14214	14309	12886	5948	4707	5556	2429	2772	1799	1318	664	893	95	0	99
0	133	0	7428	2583	4272	461	247	987	0	178	120	98	193	159	2669	3132	2842	597	909	552	3986	4485	1698	0	0	0	150	0	269	296	304	419	198	192	242	1436	1632	1315	834	553	492	355	501	233	329	117	142	0	0	0
493	493	309	1473	482	888	7641	3952	13263	1460	1271	1631	0	0	0	2952	4250	3091	15381	20512	16436	16222	16246	5948	1335	854	1767	1790	1400	1885	1957	1288	2694	3456	2065	2908	1754	1837	1869	13350	9589	10939	5480	6179	3304	2164	1413	1875	156	141	106
0	0	53	10245	2690	5712	0	0	161	0	0	0	83	0	70	6500	8386	7125	68	122	0	2487	2344	1192	0	0	0	0	0	0	855	613	1276	0	0	0	2345	2665	2554	0	0	0	0	0	0	129	0	0	138	0	0
2028	2037	1360	951	397	679	1179	630	1894	1690	1379	1509	65	213	75	5647	8022	6190	4298	6250	4783	1928	1728	760	1132	966	2020	1670	1298	1482	4100	2802	5083	2373	1435	2205	2020	1971	1824	1628	1317	1355	499	303	410	234	137	150	717	583	577
376	447	208	413	89	283	162	52	191	199	205	238	0	0	0	144	297	209	273	270	351	220	162	120	367	325	454	271	176	311	554	420	781	273	230	294	345	311	378	271	0	116	0	0	57	0	0	0	173	177	137
7155	7590	4786	3171	1204	1980	3437	1675	4552	5191	4603	4990	256	689	267	2806	4022	3426	6957	9055	6966	6222	5240	2287	3717	3754	6097	5713	4417	5167	8045	5485	10520	7917	4933	6841	7310	7372	6462	3905	2570	3148	898	929	936	601	285	328	2670	2835	2120
1194	1500	762	342	152	167	472	265	715	827	739	736	0	176	75	234	303	274	817	1081	749	855	828	317	554	660	894	670	677	814	393	332	398	1096	778	932	799	1068	883	452	264	462	110	213	188	65	192	87	512	617	399
14923	16001	9645	7124	2548	3934	6923	3316	9073	10118	9649	10100	522	1243	490	5653	7866	6632	13308	18062	13005	13300	11277	4580	7788	8150	12001	11006	9172	10238	7275	4570	8272	15813	10020	14176	14285	15174	13644	7350	4333	6084	1280	1840	1945	1226	470	604	4909	5351	4186
