C12-A_2	C12-A_3	C12-AA_1	C12-AA_2	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_1	C12-AD_2	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_1	C12-E_2	C12-E_3	C12-H-T1_1	C12-H-T1_2	C12-H-T2_1	C12-H-T2_2	C12-I_1	C12-I_2	C12-J_1	C12-J_2	C12-K_1	C12-K_2	C12-L_1	C12-L_2	C12-P-T1_1	C12-P-T1_2	C12-P-T1_3	C12-V_1	C12-V_2	C12-V_3	C12-W-L1_1	C12-W-L1_2	C12-C-L1_1	C12-C-L1_2	C12-Y-C1_1	C12-Y-C1_2
204	90	3411	3658	907	556	129	197	3705	1867	1778	194	4465	5598	1025	539	431	166	91	340	168	980	1200	352	360	483	400	2400	1680	282	2773	1407	240	251	482	212	474	0	0
310	0	947	1122	3983	2951	687	1511	20531	7173	7030	882	5722	6489	1337	2228	2015	1031	1009	1681	1034	3596	4569	970	1262	1679	1446	11855	7941	1306	11147	5535	1062	1103	1767	954	1649	63	84
1742	200	401	631	2474	1940	388	204	2810	3823	3197	488	4373	4535	898	1668	1499	371	368	971	743	540	663	762	1010	693	676	7172	4954	782	5689	2889	580	629	1027	844	1150	211	340
4303	417	1224	1750	2408	2027	472	431	5011	2251	1961	282	3114	3339	670	751	675	709	781	1286	966	384	465	760	1055	1022	941	4045	2775	441	6940	3586	760	838	1285	0	325	486	641
5137	500	1594	2120	1255	906	227	687	7566	1835	1867	208	1912	2112	414	679	685	533	673	553	433	354	474	279	378	817	768	3283	2357	326	2845	1446	277	247	432	71	159	550	768
783	63	92	62	0	0	0	201	1232	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	174
0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	51
59	54	0	69	0	0	0	76	114	0	53	90	68	0	0	51	0	0	0	66	0	0	87	76	111	0	60	90	60	55	74	121	0	88	79	83	0	52	56
120	0	0	126	56	111	54	89	240	157	117	0	121	126	0	63	0	60	51	84	0	52	54	0	77	0	63	191	105	0	109	187	0	104	81	51	74	70	69
339	0	0	304	74	109	0	86	335	482	325	61	249	233	68	0	0	0	59	92	57	101	130	0	0	77	64	539	243	57	79	89	0	0	62	0	0	0	84
521	61	0	74	0	67	0	0	161	93	71	0	180	164	0	80	64	0	0	0	0	0	0	59	98	0	0	197	117	0	138	261	0	51	0	0	0	55	118
