C12-A_1	C12-A_2	C12-A_3	C12-AA_1	C12-AA_2	C12-AA_3	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_1	C12-AD_2	C12-AD_3	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_1	C12-E_2	C12-E_3	C12-H-T1_1	C12-H-T1_2	C12-H-T1_3	C12-H-T2_1	C12-H-T2_2	C12-H-T2_3	C12-I_1	C12-I_2	C12-I_3	C12-J_1	C12-J_2	C12-J_3	C12-K_1	C12-K_2	C12-K_3	C12-L_1	C12-L_2	C12-L_3	C12-P-T1_1	C12-P-T1_2	C12-P-T1_3	C12-V_1	C12-V_2	C12-W-L1_1	C12-W-L1_2	C12-W-L1_3	C12-C-L1_1	C12-C-L1_2	C12-C-L1_3	C12-Y-C1_1	C12-Y-C1_2	C12-Y-C1_3
0	0	91	5257	7427	7036	5553	6248	6002	8056	8296	8964	11101	14430	11438	22579	14615	21072	6054	8581	7946	7499	5711	3908	14117	10851	9810	13788	11147	8809	12407	10321	7663	9179	10637	6846	11649	18752	7266	20795	15586	5100	5569	3708	4500	4181	2918	0	0	0
0	0	0	5544	8402	7141	4825	5392	5711	6112	6730	6886	10067	9426	6367	18499	12493	17572	4915	7155	6052	6384	4947	3637	907	0	677	12844	9386	7928	11201	8973	6929	7427	8936	6274	11119	17377	6638	16460	11674	3046	4130	2848	4312	3670	2519	0	0	0
71	90	77	0	432	370	242	0	0	420	0	386	2329	1357	2251	0	630	0	0	0	317	285	0	0	0	0	92	0	496	0	0	0	393	0	448	0	0	1303	340	0	0	0	0	123	326	314	0	0	0	0
370	568	588	101	139	172	124	119	123	91	82	180	205	148	259	230	158	243	94	186	173	121	96	94	121	82	157	126	97	78	90	116	122	89	129	93	214	386	148	223	164	104	93	0	59	74	0	165	102	93
2302	2967	3310	400	717	546	613	681	688	417	578	518	75	412	301	1079	751	1003	517	809	711	610	391	401	555	598	283	732	617	479	468	381	405	508	682	487	1200	1885	826	1101	681	177	338	218	271	192	150	1061	659	596
5194	6563	7360	938	1441	1052	1345	1390	1508	774	1144	1082	172	873	681	2448	1746	2211	1383	1832	1676	1426	1056	804	1271	1169	766	1602	1243	1018	1076	731	728	1217	1460	1091	2729	4276	1727	2287	1431	316	568	491	511	382	285	2267	1767	1397
5620	6965	7788	1051	1324	1113	1319	1510	1548	852	1238	1136	193	836	690	2772	1915	2428	1477	1936	1761	1589	1186	867	1499	1172	809	1703	1264	1071	1198	744	761	1349	1520	1085	3144	4558	1814	2332	1549	355	509	460	474	413	339	2372	1953	1570
1902	2386	2447	347	423	408	489	502	505	259	383	387	63	192	173	875	592	752	436	674	532	531	288	237	441	417	304	504	402	320	364	190	235	386	469	352	945	1584	587	765	497	129	174	169	122	107	94	725	596	469
1962	2495	2469	257	426	415	440	482	422	237	328	410	118	185	268	800	549	719	395	650	506	450	347	271	456	380	356	526	389	332	327	245	277	408	481	326	872	1036	617	806	465	233	161	189	100	109	58	666	582	428
2534	3008	3123	379	525	510	536	580	548	285	394	553	138	220	378	1072	681	935	535	805	658	574	403	381	602	384	422	744	513	444	462	298	309	490	627	445	1153	1361	785	1068	631	300	175	255	141	118	110	889	787	541
2244	2747	2815	321	449	482	468	494	441	256	324	466	126	185	362	1012	663	903	536	772	694	571	381	315	505	354	432	729	492	419	384	256	282	492	563	451	1140	1335	721	959	583	270	178	218	128	137	123	814	745	484
1325	1570	1656	159	336	256	244	252	272	192	214	280	56	120	219	573	384	541	379	438	377	345	279	184	272	194	225	445	276	207	219	181	172	294	311	196	656	777	371	540	356	132	77	142	109	63	60	404	408	263
