C12-A_1	C12-A_2	C12-A_3	C12-AA_1	C12-AA_2	C12-AA_3	C12-AB_1	C12-AB_2	C12-AB_3	C12-AD_1	C12-AD_2	C12-AD_3	C12-AE-T_1	C12-AE-T_2	C12-AE-T_3	C12-E_1	C12-E_2	C12-E_3	C12-H-T1_1	C12-H-T1_3	C12-H-T2_1	C12-H-T2_2	C12-H-T2_3	C12-I_1	C12-I_2	C12-I_3	C12-J_1	C12-J_2	C12-J_3	C12-K_1	C12-K_2	C12-K_3	C12-L_1	C12-L_2	C12-L_3	C12-P-T1_1	C12-P-T1_3	C12-V_1	C12-V_2	C12-V_3	C12-W-L1_1	C12-W-L1_2	C12-W-L1_3	C12-C-L1_1	C12-C-L1_2	C12-C-L1_3	C12-Y-C1_1	C12-Y-C1_2	C12-Y-C1_3
25929	30278	30265	15447	11962	11065	11857	7885	6633	6950	11072	9702	11181	23345	17891	10386	13981	11920	21510	29478	13101	18595	13986	15819	18238	16858	22604	21717	21455	20187	13579	17836	22860	21370	21057	27960	28598	9013	8515	7885	4696	12659	9651	5202	5748	4867	22008	23215	16523
897	1330	1388	484	334	309	1751	1276	1323	4779	7154	5993	459	1030	876	6164	9178	7250	625	820	9155	12494	10052	12782	15957	13800	723	1164	830	2943	1859	2505	785	630	641	1171	859	13257	11316	10554	5952	11904	9603	6518	9641	4664	0	0	810
185	0	0	154	114	85	7946	5653	6240	17794	26955	24628	0	92	0	1976	2476	1885	2239	3105	8749	12488	10636	4771	6792	6563	3516	3530	3618	5345	3993	5243	3620	3182	3507	129	95	4215	3234	3270	1963	4390	3155	2615	3423	2184	0	0	0
90	111	0	706	492	236	6145	4205	4576	1744	2543	2323	261	329	248	4289	5426	4329	5545	7754	764	1549	1141	604	789	752	7686	7537	7641	1044	687	1250	7185	6681	7292	381	484	7314	5120	6086	3341	7578	5485	4457	5172	3405	0	114	0
74	166	110	2457	1710	1246	394	373	320	0	0	0	1145	1655	902	1576	1920	1626	157	500	0	0	53	156	0	141	322	397	423	85	0	94	387	259	366	1832	1719	938	461	642	209	737	365	330	629	195	0	0	0
165	290	360	3536	2850	1865	133	79	0	53	60	0	2482	3615	2126	2033	2643	2271	111	166	73	0	54	145	128	69	93	0	0	131	159	0	133	82	61	3308	2891	74	101	107	61	154	124	71	91	0	219	167	0
821	1086	1187	2976	2585	1727	442	357	227	251	359	306	2929	5047	3013	1996	2841	2309	414	524	301	400	343	382	580	476	301	270	280	433	307	353	310	255	229	3213	2743	180	301	271	161	347	421	120	280	148	684	953	391
2041	2793	2839	1612	1362	953	976	754	552	509	853	677	2049	4238	2436	2333	2749	2494	948	1359	731	1014	782	1023	1119	817	638	573	612	885	600	708	746	623	615	1814	1828	504	680	583	367	702	885	424	573	310	1797	1902	982
2926	3999	3986	1184	794	626	1290	930	750	757	1228	950	800	1675	1174	1790	2137	1981	1408	1932	1006	1371	1033	1290	1647	1232	896	863	886	1184	637	898	1049	842	870	1473	1667	763	910	731	508	1022	1190	728	718	420	2529	2474	1379
2879	3996	4070	1152	685	498	1212	888	717	799	1232	877	198	443	509	1318	1597	1523	1385	1899	1036	1360	1009	1368	1549	1197	875	783	824	1179	626	822	1045	938	864	1258	1479	755	862	703	514	1051	1229	540	650	384	2560	2510	1406
1789	2461	2639	720	429	285	703	540	452	489	783	480	0	189	267	687	858	827	874	1179	605	799	573	968	983	791	559	449	506	704	324	469	638	526	520	773	918	516	501	420	282	757	696	355	316	226	1667	1437	904
