Sample File Name,Dye Color,"Dye , Sample Peak",Size,Height,Area(Data Point),Area(Base Pairs),Data Point,Begin Point (Data Point),End Point (Data Point),Begin Point (Base Pairs),End Point (Base Pairs)
Mix1_C57m1b_1.fsa,BLUE,"B,1 ",2.42,1798,8320,806.2,957,947,964,1.45,3.1
Mix1_C57m1b_1.fsa,BLUE,"B,2 ",4.36,17427,196903,19079.69,977,964,983,3.1,4.94
Mix1_C57m1b_1.fsa,BLUE,"B,3 ",5.43,16611,179311,17375.14,988,983,1002,4.94,6.78
Mix1_C57m1b_1.fsa,BLUE,"B,4 ",9.01,7767,100625,9750.46,1025,1002,1031,6.78,9.59
Mix1_C57m1b_1.fsa,BLUE,"B,5 ",9.98,4930,42466,4114.93,1035,1031,1046,9.59,11.05
Mix1_C57m1b_1.fsa,BLUE,"B,6 ",11.53,3250,11360,1100.77,1051,1046,1057,11.05,12.11
Mix1_C57m1b_1.fsa,BLUE,"B,7 ",14.92,2288,42983,4165.01,1086,1065,1094,12.89,15.7
Mix1_C57m1b_1.fsa,BLUE,"B,8 ",19.38,1308,8669,840.02,1132,1120,1137,18.22,19.86
Mix1_C57m1b_1.fsa,BLUE,"B,9 ",25,6424,30102,2916.84,1190,1182,1197,24.22,25.68
Mix1_C57m1b_1.fsa,BLUE,"B,10 ",26.26,312,922,89.34,1203,1197,1210,25.68,26.94
Mix1_C57m1b_1.fsa,BLUE,"B,11 ",28.29,196,401,38.86,1224,1217,1229,27.62,28.78
Mix1_C57m1b_1.fsa,BLUE,"B,12 ",29.75,1145,8891,861.53,1239,1229,1247,28.78,30.52
Mix1_C57m1b_1.fsa,BLUE,"B,13 ",31.98,4618,52225,5060.56,1262,1247,1272,30.52,32.95
Mix1_C57m1b_1.fsa,BLUE,"B,14 ",35.66,561,2540,246.12,1300,1292,1307,34.88,36.34
Mix1_C57m1b_1.fsa,BLUE,"B,15 ",37.79,10419,46756,4530.62,1322,1314,1328,37.02,38.37
Mix1_C57m1b_1.fsa,BLUE,"B,16 ",39.15,500,2419,234.4,1336,1328,1340,38.37,39.53
Mix1_C57m1b_1.fsa,BLUE,"B,17 ",40.31,5889,33094,3206.78,1348,1340,1352,39.53,40.7
Mix1_C57m1b_1.fsa,BLUE,"B,18 ",41.28,8802,52908,5126.75,1358,1352,1367,40.7,42.15
Mix1_C57m1b_1.fsa,BLUE,"B,19 ",45.45,158,437,42.34,1401,1395,1406,44.86,45.93
Mix1_C57m1b_1.fsa,BLUE,"B,20 ",46.9,5000,31581,3060.18,1416,1406,1420,45.93,47.29
Mix1_C57m1b_1.fsa,BLUE,"B,21 ",47.97,8425,42512,4119.37,1427,1420,1429,47.29,48.16
Mix1_C57m1b_1.fsa,BLUE,"B,22 ",49.03,13362,182367,17671.25,1438,1429,1462,48.16,51.36
Mix1_C57m1b_1.fsa,BLUE,"B,23 ",52.13,1996,8758,848.64,1470,1462,1474,51.36,52.52
Mix1_C57m1b_1.fsa,BLUE,"B,24 ",53.2,6849,35032,3394.58,1481,1474,1488,52.52,53.88
Mix1_C57m1b_1.fsa,BLUE,"B,25 ",58.62,91,561,54.36,1537,1527,1543,57.66,59.21
Mix1_C57m1b_1.fsa,BLUE,"B,26 ",60.66,156,1777,172.19,1558,1543,1568,59.21,61.63
Mix1_C57m1b_1.fsa,BLUE,"B,27 ",66.28,73,308,29.84,1616,1609,1623,65.6,66.96
Mix1_C57m1b_1.fsa,BLUE,"B,28 ",68.8,513,9381,909.01,1642,1623,1667,66.96,71.22
Mix1_C57m1b_1.fsa,BLUE,"B,29 ",78.93,926,14091,1381.63,1746,1729,1755,77.26,79.81
Mix1_C57m1b_1.fsa,BLUE,"B,30 ",81.18,1800,29474,2879.61,1769,1755,1785,79.81,82.74
Mix1_C57m1b_1.fsa,BLUE,"B,31 ",88.76,15446,241815,23392.86,1847,1829,1866,87.02,90.6
Mix1_C57m1b_1.fsa,BLUE,"B,32 ",91.66,614,5927,571.3,1877,1866,1886,90.6,92.53
Mix1_C57m1b_1.fsa,BLUE,"B,33 ",98.47,129,1450,138.48,1948,1934,1964,97.13,100
Mix1_C57m1b_1.fsa,BLUE,"B,34 ",110.81,144,2616,239.51,2083,2058,2104,108.53,112.74
Mix1_C57m1b_1.fsa,BLUE,"B,35 ",119.94,55,234,21.72,2182,2174,2184,119.2,120.13
Mix1_C57m1b_1.fsa,BLUE,"B,36 ",120.97,252,1937,180.14,2193,2184,2199,120.13,121.52
Mix1_C57m1b_1.fsa,BLUE,"B,37 ",122.18,746,2598,242.1,2206,2199,2211,121.52,122.64
Mix1_C57m1b_1.fsa,BLUE,"B,38 ",123.2,109,590,55.07,2217,2211,2221,122.64,123.58
Mix1_C57m1b_1.fsa,BLUE,"B,39 ",124.14,112,524,48.99,2227,2221,2232,123.58,124.6
Mix1_C57m1b_1.fsa,BLUE,"B,40 ",125.26,92,425,39.8,2239,2232,2244,124.6,125.73
Mix1_C57m1b_1.fsa,BLUE,"B,41 ",126.85,57,788,74.01,2256,2244,2269,125.73,128.08
Mix1_C57m1b_1.fsa,BLUE,"B,42 ",129.87,92,1217,114.83,2288,2269,2302,128.08,131.19
Mix1_C57m1b_1.fsa,BLUE,"B,43 ",133.08,106,1104,104.63,2322,2302,2324,131.19,133.27
Mix1_C57m1b_1.fsa,BLUE,"B,44 ",133.75,108,1057,100.52,2329,2324,2343,133.27,135.08
Mix1_C57m1b_1.fsa,BLUE,"B,45 ",140.68,50,253,26.49,2400,2394,2406,140.05,141.31
Mix1_C57m1b_1.fsa,BLUE,"B,46 ",144.02,51,316,32.82,2432,2427,2438,143.5,144.64
Mix1_C57m1b_1.fsa,BLUE,"B,47 ",153.27,28121,343914,32834.67,2524,2508,2531,151.74,153.93
Mix1_C57m1b_1.fsa,BLUE,"B,48 ",154.22,26346,210396,19930.81,2534,2531,2538,153.93,154.6
Mix1_C57m1b_1.fsa,BLUE,"B,49 ",155.26,27917,371372,34881.97,2545,2538,2564,154.6,157.04
Mix1_C57m1b_1.fsa,BLUE,"B,50 ",157.6,2079,8469,787.99,2570,2564,2575,157.04,158.06
Mix1_C57m1b_1.fsa,BLUE,"B,51 ",158.62,2406,9902,915.98,2581,2575,2587,158.06,159.17
Mix1_C57m1b_1.fsa,BLUE,"B,52 ",159.54,659,2199,202.41,2591,2587,2597,159.17,160.09
Mix1_C57m1b_1.fsa,BLUE,"B,53 ",160.65,296,1137,104.91,2603,2597,2608,160.09,161.11
Mix1_C57m1b_1.fsa,BLUE,"B,54 ",164.88,149,742,68.17,2649,2642,2656,164.24,165.52
Mix1_C57m1b_1.fsa,BLUE,"B,55 ",165.98,113,346,31.76,2661,2656,2665,165.52,166.35
Mix1_C57m1b_1.fsa,BLUE,"B,56 ",166.99,610,2853,261.58,2672,2665,2678,166.35,167.54
Mix1_C57m1b_1.fsa,BLUE,"B,57 ",168,453,1945,178.15,2683,2678,2687,167.54,168.37
Mix1_C57m1b_1.fsa,BLUE,"B,58 ",169.01,2395,13918,1273.52,2694,2687,2700,168.37,169.56
Mix1_C57m1b_1.fsa,BLUE,"B,59 ",170.1,1639,9832,898.74,2706,2700,2709,169.56,170.38
Mix1_C57m1b_1.fsa,BLUE,"B,60 ",171.02,5394,34936,3190.03,2716,2709,2724,170.38,171.75
Mix1_C57m1b_1.fsa,BLUE,"B,61 ",172.02,431,2234,203.76,2727,2724,2733,171.75,172.57
Mix1_C57m1b_1.fsa,BLUE,"B,62 ",173.12,172,693,63.15,2739,2733,2745,172.57,173.66
Mix1_C57m1b_1.fsa,BLUE,"B,63 ",183.36,55,325,29.32,2852,2844,2855,182.64,183.63
Mix1_C57m1b_1.fsa,BLUE,"B,64 ",184.26,65,325,29.29,2862,2855,2867,183.63,184.71
Mix1_C57m1b_1.fsa,BLUE,"B,65 ",188.13,58,277,24.87,2905,2899,2910,187.59,188.58
